block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,0.412727,681,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.755152,47446,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.660606,47290,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
1,cube0,0.464848,767,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.207273,46542,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.244242,46603,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
2,cube0,0.423636,699,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.216970,48208,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.058788,47947,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
3,cube0,0.481212,794,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.314545,48369,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.205454,46539,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
4,cube0,0.461818,762,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.164848,46472,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.501213,47027,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
5,cube0,0.409697,676,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.741817,45774,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.013334,46222,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
6,cube0,0.442424,730,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.433332,46915,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.076365,46326,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
7,cube0,0.416970,688,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.186666,46508,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.643030,47261,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
8,cube0,0.473333,781,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.212122,46550,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.246666,46607,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
9,cube0,0.427273,705,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.748486,45785,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.850908,45954,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
