block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,0.412727,681,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,28.755152,47446,44.231815,30.622026,0.000000,0.000000,
0,vector1,NA,NA,28.660606,47290,44.231815,30.622026,0.000000,0.000000,
1,cube0,0.464848,767,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,28.207273,46542,44.231815,30.622026,0.000000,0.000000,
1,vector1,NA,NA,28.244242,46603,44.231815,30.622026,0.000000,0.000000,
2,cube0,0.423636,699,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,29.216970,48208,44.231815,30.622026,0.000000,0.000000,
2,vector1,NA,NA,29.058788,47947,44.231815,30.622026,0.000000,0.000000,
3,cube0,0.481212,794,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,29.314545,48369,44.231815,30.622026,0.000000,0.000000,
3,vector1,NA,NA,28.205454,46539,44.231815,30.622026,0.000000,0.000000,
4,cube0,0.461818,762,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,28.164848,46472,44.231815,30.622026,0.000000,0.000000,
4,vector1,NA,NA,28.501213,47027,44.231815,30.622026,0.000000,0.000000,
5,cube0,0.409697,676,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,27.741817,45774,44.231815,30.622026,0.000000,0.000000,
5,vector1,NA,NA,28.013334,46222,44.231815,30.622026,0.000000,0.000000,
6,cube0,0.442424,730,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,28.433332,46915,44.231815,30.622026,0.000000,0.000000,
6,vector1,NA,NA,28.076365,46326,44.231815,30.622026,0.000000,0.000000,
7,cube0,0.416970,688,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,28.186666,46508,44.231815,30.622026,0.000000,0.000000,
