block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),
0,cube0,0.412727,681,0.000000,0.000000,0.003030,0.000016,0.002424,0.000013,0.001212,0.000006,393.390656,0.000606,0.000003,0.000000,0.000000,0.360000,0.001875,0.017576,0.025455,0.000000,0.000000,0.000000,0.000000,0.139394,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.755152,47446,23.551516,0.122664,17.610909,0.091723,37.256905,11.078788,0.057702,59.223804,0.000000,1.664848,0.008671,0.421212,0.699394,22.144243,22.783636,0.000000,14.232121,0.549091,0.000000,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.660606,47290,23.551516,0.122664,17.049091,0.088797,38.484631,11.263030,0.058662,58.255009,0.000000,2.190909,0.011411,0.421212,0.699394,21.757576,22.303030,0.000000,14.095757,0.610909,0.000000,
1,cube0,0.464848,767,0.000000,0.000000,0.003030,0.000016,0.002424,0.000013,0.001212,0.000006,393.390656,0.000606,0.000003,0.000000,0.000000,0.409697,0.002134,0.017576,0.025455,0.000000,0.000000,0.000000,0.000000,0.101212,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.207273,46542,23.551516,0.122664,17.735151,0.092371,36.995903,11.092728,0.057775,59.149376,0.000000,1.628485,0.008482,0.421212,0.699394,22.181211,22.795757,0.000000,14.875152,0.706061,0.000000,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.244242,46603,23.551516,0.122664,17.329090,0.090256,37.862804,10.761818,0.056051,60.968132,0.000000,1.817576,0.009467,0.421212,0.699394,21.881819,22.667879,0.000000,14.765454,0.549091,0.000000,
2,cube0,0.423636,699,0.000000,0.000000,0.003030,0.000016,0.002424,0.000013,0.001212,0.000006,393.390656,0.000606,0.000003,0.000000,0.000000,0.366061,0.001907,0.017576,0.025455,0.000000,0.000000,0.000000,0.000000,0.122424,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.216970,48208,23.551516,0.122664,17.619394,0.091768,37.238964,10.731515,0.055893,61.140289,0.000000,2.713333,0.014132,0.421212,0.699394,21.623030,22.126667,0.000000,13.804242,0.595152,0.000000,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.058788,47947,23.551516,0.122664,17.120001,0.089167,38.325230,10.960606,0.057086,59.862377,0.000000,2.964242,0.015439,0.421212,0.699394,21.586061,22.101818,0.000000,13.547879,0.680606,0.000000,
3,cube0,0.481212,794,0.000000,0.000000,0.003030,0.000016,0.002424,0.000013,0.001212,0.000006,393.390656,0.000606,0.000003,0.000000,0.000000,0.442424,0.002304,0.017576,0.025455,0.000000,0.000000,0.000000,0.000000,0.109091,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
