block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,0.451515,745,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.615758,2666,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.867879,3082,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
1,cube0,0.386667,638,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.412121,3980,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.503030,2480,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
2,cube0,0.446667,737,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.012121,3320,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.740606,4522,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
3,cube0,0.393333,649,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.831515,4672,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.633333,2695,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
4,cube0,0.464242,766,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.764848,4562,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.745455,2880,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
5,cube0,0.420606,694,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.423636,3999,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.003636,3306,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
6,cube0,0.401818,663,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.073333,3421,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.004242,3307,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
7,cube0,0.445455,735,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.083030,3437,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.806061,2980,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
8,cube0,0.412121,680,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.409091,3975,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.404243,3967,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
9,cube0,0.455152,751,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.097576,3461,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.483636,4098,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
10,cube0,0.517576,854,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.930909,3186,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.864242,3076,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
11,cube0,0.478788,790,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.234545,3687,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.003636,3306,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
12,cube0,0.420606,694,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.223636,3669,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
