block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,0.451515,745,1,0,0,0,0,1,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.615758,2666,1,64,11,56,11,52,1.538462,16.923077,11.794871,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.867879,3082,1,64,0,63,1,66,1.538462,0.769231,1.025641,
1,cube0,0.386667,638,1,0,0,1,0,0,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.412121,3980,65,0,53,11,54,12,100.000000,82.307693,88.205132,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.503030,2480,65,0,64,1,65,0,100.000000,99.230766,99.487183,
2,cube0,0.446667,737,1,0,0,0,0,1,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.012121,3320,1,64,1,64,0,65,1.538462,0.769231,1.025641,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.740606,4522,1,64,64,1,65,0,1.538462,99.230766,66.666664,
3,cube0,0.393333,649,1,0,0,0,0,1,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.831515,4672,65,0,64,1,65,0,100.000000,99.230766,99.487183,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.633333,2695,65,0,0,64,1,65,100.000000,0.769231,33.846153,
4,cube0,0.464242,766,1,0,0,1,0,0,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.764848,4562,1,64,3,61,4,62,1.538462,5.384615,4.102564,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.745455,2880,1,64,4,62,1,63,1.538462,3.846154,3.076923,
5,cube0,0.420606,694,1,0,0,0,0,1,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.423636,3999,65,0,62,3,61,4,100.000000,94.615387,96.410255,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.003636,3306,65,0,61,4,64,1,100.000000,96.153847,97.435898,
6,cube0,0.401818,663,1,0,0,0,0,1,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.073333,3421,1,64,0,65,1,64,1.538462,0.769231,1.025641,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.004242,3307,1,64,2,63,1,64,1.538462,2.307692,2.051282,
7,cube0,0.445455,735,1,0,0,0,0,1,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.083030,3437,65,0,64,0,65,1,100.000000,99.230766,99.487183,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.806061,2980,65,0,63,2,64,1,100.000000,97.692307,98.461540,
8,cube0,0.412121,680,1,0,0,1,0,0,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.409091,3975,1,64,0,64,1,65,1.538462,0.769231,1.025641,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.404243,3967,1,64,0,65,1,64,1.538462,0.769231,1.025641,
9,cube0,0.455152,751,1,0,0,1,0,0,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.097576,3461,65,0,64,0,65,1,100.000000,99.230766,99.487183,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.483636,4098,65,0,65,1,64,0,100.000000,99.230766,99.487183,
10,cube0,0.517576,854,1,0,0,0,0,1,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.930909,3186,1,64,4,61,3,62,1.538462,5.384615,4.102564,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.864242,3076,1,64,1,64,2,63,1.538462,2.307692,2.051282,
11,cube0,0.478788,790,1,0,0,1,0,0,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.234545,3687,65,0,63,3,60,4,100.000000,94.615387,96.410255,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.003636,3306,65,0,62,2,65,1,100.000000,97.692307,98.461540,
12,cube0,0.420606,694,1,0,0,0,0,1,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.223636,3669,1,64,1,65,0,64,1.538462,0.769231,1.025641,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.386667,3938,1,64,0,64,1,65,1.538462,0.769231,1.025641,
13,cube0,0.414545,684,1,0,0,1,0,0,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.488485,4106,65,0,65,1,64,0,100.000000,99.230766,99.487183,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.122424,3502,65,0,64,0,65,1,100.000000,99.230766,99.487183,
14,cube0,0.420606,694,1,0,0,0,0,1,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.414546,3984,13,52,0,63,1,66,20.000000,0.769231,7.179487,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.947273,3213,1,64,1,66,0,63,1.538462,0.769231,1.025641,
15,cube0,0.455758,752,1,0,0,1,0,0,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.086061,3442,53,12,63,1,66,0,81.538460,99.230766,93.333336,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.261818,3732,65,0,66,0,63,1,100.000000,99.230766,99.487183,
16,cube0,0.438182,723,1,0,0,1,0,0,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
