block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,0.451515,745,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.615758,2666,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.867879,3082,
1,cube0,0.386667,638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.412121,3980,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.503030,2480,
2,cube0,0.446667,737,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.012121,3320,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,2.740606,4522,
3,cube0,0.393333,649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.831515,4672,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.633333,2695,
4,cube0,0.464242,766,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.764848,4562,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.745455,2880,
5,cube0,0.420606,694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.423636,3999,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,2.003636,3306,
6,cube0,0.401818,663,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.073333,3421,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,2.004242,3307,
7,cube0,0.445455,735,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.083030,3437,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.806061,2980,
8,cube0,0.412121,680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.409091,3975,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,2.404243,3967,
9,cube0,0.455152,751,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.097576,3461,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,2.483636,4098,
10,cube0,0.517576,854,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.930909,3186,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.864242,3076,
11,cube0,0.478788,790,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.234545,3687,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,2.003636,3306,
12,cube0,0.420606,694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.223636,3669,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,2.386667,3938,
13,cube0,0.414545,684,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.488485,4106,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,2.122424,3502,
14,cube0,0.420606,694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.414546,3984,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.947273,3213,
15,cube0,0.455758,752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.086061,3442,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,2.261818,3732,
16,cube0,0.438182,723,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.323030,3833,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,2.490303,4109,
17,cube0,0.410909,678,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.608485,4304,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,2.218182,3660,
18,cube0,0.460606,760,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.438182,4023,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,2.154546,3555,
19,cube0,0.461212,761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.635758,4349,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,2.269697,3745,
20,cube0,0.352121,581,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.527273,2520,
20,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.509697,2491,
21,cube0,0.289697,478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.467879,2422,
21,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.459394,2408,
22,cube0,0.347879,574,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.563636,2580,
22,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.544242,2548,
23,cube0,0.290909,480,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.646061,2716,
23,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.638182,2703,
24,cube0,0.366667,605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.493333,2464,
24,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.513939,2498,
25,cube0,0.321818,531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.575758,2600,
25,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.609697,2656,
26,cube0,0.313939,518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.553333,2563,
26,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.499394,2474,
27,cube0,0.340000,561,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.557576,2570,
27,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.666667,2750,
28,cube0,0.315758,521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.503030,2480,
28,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.480000,2442,
29,cube0,0.352727,582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.564849,2582,
29,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.398182,2307,
30,cube0,0.330909,546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.481818,2445,
30,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.461212,2411,
31,cube0,0.373939,617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.653939,2729,
31,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.585455,2616,
32,cube0,0.304848,503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.490909,2460,
32,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.497576,2471,
33,cube0,0.314545,519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.572727,2595,
33,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.581212,2609,
34,cube0,0.317576,524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.435758,2369,
34,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.385455,2286,
35,cube0,0.348485,575,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.528485,2522,
35,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.549091,2556,
36,cube0,0.341212,563,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.630909,2691,
36,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.501818,2478,
37,cube0,0.309697,511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.660000,2739,
37,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.544848,2549,
38,cube0,0.363030,599,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.492727,2463,
38,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.877576,3098,
39,cube0,0.347879,574,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.580000,2607,
39,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.486061,2452,
40,cube0,0.349697,577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
40,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.599394,2639,
40,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.420606,2344,
41,cube0,0.290303,479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
41,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.784848,2945,
