block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,0.451515,745,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,1.615758,2666,2.970346,2.333844,0.000000,0.000000,
0,vector1,NA,NA,1.867879,3082,2.970346,2.333844,0.000000,0.000000,
1,cube0,0.386667,638,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,2.412121,3980,2.970346,2.333844,0.000000,0.000000,
1,vector1,NA,NA,1.503030,2480,2.970346,2.333844,0.000000,0.000000,
2,cube0,0.446667,737,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,2.012121,3320,2.970346,2.333844,0.000000,0.000000,
2,vector1,NA,NA,2.740606,4522,2.970346,2.333844,0.000000,0.000000,
3,cube0,0.393333,649,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,2.831515,4672,2.970346,2.333844,0.000000,0.000000,
3,vector1,NA,NA,1.633333,2695,2.970346,2.333844,0.000000,0.000000,
4,cube0,0.464242,766,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,2.764848,4562,2.970346,2.333844,0.000000,0.000000,
4,vector1,NA,NA,1.745455,2880,2.970346,2.333844,0.000000,0.000000,
5,cube0,0.420606,694,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,2.423636,3999,2.970346,2.333844,0.000000,0.000000,
5,vector1,NA,NA,2.003636,3306,2.970346,2.333844,0.000000,0.000000,
6,cube0,0.401818,663,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,2.073333,3421,2.970346,2.333844,0.000000,0.000000,
6,vector1,NA,NA,2.004242,3307,2.970346,2.333844,0.000000,0.000000,
7,cube0,0.445455,735,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,2.083030,3437,2.970346,2.333844,0.000000,0.000000,
7,vector1,NA,NA,1.806061,2980,2.970346,2.333844,0.000000,0.000000,
8,cube0,0.412121,680,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,2.409091,3975,2.970346,2.333844,0.000000,0.000000,
8,vector1,NA,NA,2.404243,3967,2.970346,2.333844,0.000000,0.000000,
9,cube0,0.455152,751,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,2.097576,3461,2.970346,2.333844,0.000000,0.000000,
9,vector1,NA,NA,2.483636,4098,2.970346,2.333844,0.000000,0.000000,
10,cube0,0.517576,854,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,1.930909,3186,2.970346,2.333844,0.000000,0.000000,
10,vector1,NA,NA,1.864242,3076,2.970346,2.333844,0.000000,0.000000,
11,cube0,0.478788,790,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,2.234545,3687,2.970346,2.333844,0.000000,0.000000,
11,vector1,NA,NA,2.003636,3306,2.970346,2.333844,0.000000,0.000000,
12,cube0,0.420606,694,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,2.223636,3669,2.970346,2.333844,0.000000,0.000000,
12,vector1,NA,NA,2.386667,3938,2.970346,2.333844,0.000000,0.000000,
13,cube0,0.414545,684,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,2.488485,4106,2.970346,2.333844,0.000000,0.000000,
13,vector1,NA,NA,2.122424,3502,2.970346,2.333844,0.000000,0.000000,
14,cube0,0.420606,694,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,2.414546,3984,2.970346,2.333844,0.000000,0.000000,
14,vector1,NA,NA,1.947273,3213,2.970346,2.333844,0.000000,0.000000,
15,cube0,0.455758,752,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,2.086061,3442,2.970346,2.333844,0.000000,0.000000,
15,vector1,NA,NA,2.261818,3732,2.970346,2.333844,0.000000,0.000000,
16,cube0,0.438182,723,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,2.323030,3833,2.970346,2.333844,0.000000,0.000000,
16,vector1,NA,NA,2.490303,4109,2.970346,2.333844,0.000000,0.000000,
17,cube0,0.410909,678,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,2.608485,4304,2.970346,2.333844,0.000000,0.000000,
17,vector1,NA,NA,2.218182,3660,2.970346,2.333844,0.000000,0.000000,
18,cube0,0.460606,760,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,2.438182,4023,2.970346,2.333844,0.000000,0.000000,
18,vector1,NA,NA,2.154546,3555,2.970346,2.333844,0.000000,0.000000,
19,cube0,0.461212,761,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,2.635758,4349,2.970346,2.333844,0.000000,0.000000,
19,vector1,NA,NA,2.269697,3745,2.970346,2.333844,0.000000,0.000000,
20,cube0,0.352121,581,NA,NA,NA,NA,NA,NA,
20,vector0,NA,NA,1.527273,2520,2.970346,2.333844,0.000000,0.000000,
20,vector1,NA,NA,1.509697,2491,2.970346,2.333844,0.000000,0.000000,
21,cube0,0.289697,478,NA,NA,NA,NA,NA,NA,
21,vector0,NA,NA,1.467879,2422,2.970346,2.333844,0.000000,0.000000,
21,vector1,NA,NA,1.459394,2408,2.970346,2.333844,0.000000,0.000000,
22,cube0,0.347879,574,NA,NA,NA,NA,NA,NA,
22,vector0,NA,NA,1.563636,2580,2.970346,2.333844,0.000000,0.000000,
22,vector1,NA,NA,1.544242,2548,2.970346,2.333844,0.000000,0.000000,
23,cube0,0.290909,480,NA,NA,NA,NA,NA,NA,
23,vector0,NA,NA,1.646061,2716,2.970346,2.333844,0.000000,0.000000,
23,vector1,NA,NA,1.638182,2703,2.970346,2.333844,0.000000,0.000000,
24,cube0,0.366667,605,NA,NA,NA,NA,NA,NA,
24,vector0,NA,NA,1.493333,2464,2.970346,2.333844,0.000000,0.000000,
24,vector1,NA,NA,1.513939,2498,2.970346,2.333844,0.000000,0.000000,
25,cube0,0.321818,531,NA,NA,NA,NA,NA,NA,
25,vector0,NA,NA,1.575758,2600,2.970346,2.333844,0.000000,0.000000,
25,vector1,NA,NA,1.609697,2656,2.970346,2.333844,0.000000,0.000000,
26,cube0,0.313939,518,NA,NA,NA,NA,NA,NA,
26,vector0,NA,NA,1.553333,2563,2.970346,2.333844,0.000000,0.000000,
26,vector1,NA,NA,1.499394,2474,2.970346,2.333844,0.000000,0.000000,
27,cube0,0.340000,561,NA,NA,NA,NA,NA,NA,
27,vector0,NA,NA,1.557576,2570,2.970346,2.333844,0.000000,0.000000,
27,vector1,NA,NA,1.666667,2750,2.970346,2.333844,0.000000,0.000000,
28,cube0,0.315758,521,NA,NA,NA,NA,NA,NA,
28,vector0,NA,NA,1.503030,2480,2.970346,2.333844,0.000000,0.000000,
28,vector1,NA,NA,1.480000,2442,2.970346,2.333844,0.000000,0.000000,
29,cube0,0.352727,582,NA,NA,NA,NA,NA,NA,
29,vector0,NA,NA,1.564849,2582,2.970346,2.333844,0.000000,0.000000,
29,vector1,NA,NA,1.398182,2307,2.970346,2.333844,0.000000,0.000000,
30,cube0,0.330909,546,NA,NA,NA,NA,NA,NA,
30,vector0,NA,NA,1.481818,2445,2.970346,2.333844,0.000000,0.000000,
30,vector1,NA,NA,1.461212,2411,2.970346,2.333844,0.000000,0.000000,
31,cube0,0.373939,617,NA,NA,NA,NA,NA,NA,
31,vector0,NA,NA,1.653939,2729,2.970346,2.333844,0.000000,0.000000,
31,vector1,NA,NA,1.585455,2616,2.970346,2.333844,0.000000,0.000000,
32,cube0,0.304848,503,NA,NA,NA,NA,NA,NA,
32,vector0,NA,NA,1.490909,2460,2.970346,2.333844,0.000000,0.000000,
32,vector1,NA,NA,1.497576,2471,2.970346,2.333844,0.000000,0.000000,
33,cube0,0.314545,519,NA,NA,NA,NA,NA,NA,
33,vector0,NA,NA,1.572727,2595,2.970346,2.333844,0.000000,0.000000,
33,vector1,NA,NA,1.581212,2609,2.970346,2.333844,0.000000,0.000000,
34,cube0,0.317576,524,NA,NA,NA,NA,NA,NA,
34,vector0,NA,NA,1.435758,2369,2.970346,2.333844,0.000000,0.000000,
34,vector1,NA,NA,1.385455,2286,2.970346,2.333844,0.000000,0.000000,
35,cube0,0.348485,575,NA,NA,NA,NA,NA,NA,
35,vector0,NA,NA,1.528485,2522,2.970346,2.333844,0.000000,0.000000,
35,vector1,NA,NA,1.549091,2556,2.970346,2.333844,0.000000,0.000000,
36,cube0,0.341212,563,NA,NA,NA,NA,NA,NA,
36,vector0,NA,NA,1.630909,2691,2.970346,2.333844,0.000000,0.000000,
36,vector1,NA,NA,1.501818,2478,2.970346,2.333844,0.000000,0.000000,
37,cube0,0.309697,511,NA,NA,NA,NA,NA,NA,
37,vector0,NA,NA,1.660000,2739,2.970346,2.333844,0.000000,0.000000,
37,vector1,NA,NA,1.544848,2549,2.970346,2.333844,0.000000,0.000000,
38,cube0,0.363030,599,NA,NA,NA,NA,NA,NA,
38,vector0,NA,NA,1.492727,2463,2.970346,2.333844,0.000000,0.000000,
38,vector1,NA,NA,1.877576,3098,2.970346,2.333844,0.000000,0.000000,
39,cube0,0.347879,574,NA,NA,NA,NA,NA,NA,
