block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),
0,cube0,0.451515,745,0.000000,0.000000,0.003030,0.000043,0.002424,0.000034,0.001212,0.000017,393.390656,0.000606,0.000009,0.000000,0.000000,0.409091,0.005762,0.031515,0.040000,0.000000,0.000000,0.000000,0.000000,0.110303,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.615758,2666,0.671515,0.009458,0.395758,0.005574,38.555901,0.234545,0.003303,65.056854,0.000000,0.404848,0.005702,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.113333,0.000000,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.867879,3082,0.671515,0.009458,0.315758,0.004447,48.324383,0.242424,0.003414,62.942505,0.000000,0.475152,0.006692,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.118182,0.000000,
1,cube0,0.386667,638,0.000000,0.000000,0.003030,0.000043,0.002424,0.000034,0.001212,0.000017,393.390656,0.000606,0.000009,0.000000,0.000000,0.340606,0.004797,0.031515,0.040000,0.000000,0.000000,0.000000,0.000000,0.139394,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.412121,3980,0.671515,0.009458,0.184848,0.002603,82.547546,0.518182,0.007298,29.446787,0.000000,1.367879,0.019266,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.105455,0.000000,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.503030,2480,0.671515,0.009458,0.303636,0.004277,50.253494,0.367273,0.005173,41.546207,0.000000,0.377576,0.005318,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.126667,0.000000,
2,cube0,0.446667,737,0.000000,0.000000,0.003030,0.000043,0.002424,0.000034,0.001212,0.000017,393.390656,0.000606,0.000009,0.000000,0.000000,0.396364,0.005583,0.031515,0.040000,0.000000,0.000000,0.000000,0.000000,0.113939,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.012121,3320,0.671515,0.009458,0.422424,0.005950,36.121952,0.272727,0.003841,55.948891,0.000000,0.792727,0.011165,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.111515,0.000000,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.740606,4522,0.671515,0.009458,0.177576,0.002501,85.928337,0.229091,0.003227,66.605827,0.000000,1.682424,0.023696,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.118788,0.000000,
3,cube0,0.393333,649,0.000000,0.000000,0.003030,0.000043,0.002424,0.000034,0.001212,0.000017,393.390656,0.000606,0.000009,0.000000,0.000000,0.341818,0.004814,0.031515,0.040000,0.000000,0.000000,0.000000,0.000000,0.144242,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.831515,4672,0.671515,0.009458,0.236364,0.003329,64.556412,0.348485,0.004908,43.786091,0.000000,1.716364,0.024174,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.120000,0.000000,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.633333,2695,0.671515,0.009458,0.443030,0.006240,34.441864,0.478182,0.006735,31.910013,0.000000,0.366061,0.005156,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.134545,0.000000,
4,cube0,0.464242,766,0.000000,0.000000,0.003030,0.000043,0.002424,0.000034,0.001212,0.000017,393.390656,0.000606,0.000009,0.000000,0.000000,0.409091,0.005762,0.031515,0.040000,0.000000,0.000000,0.000000,0.000000,0.115758,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.764848,4562,0.671515,0.009458,1.281212,0.018045,11.909652,0.248485,0.003500,61.407322,0.000000,0.394545,0.005557,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.110909,0.000000,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.745455,2880,0.671515,0.009458,0.558182,0.007862,27.336594,0.515758,0.007264,29.585197,0.000000,0.352121,0.004959,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.127879,0.000000,
5,cube0,0.420606,694,0.000000,0.000000,0.003030,0.000043,0.002424,0.000034,0.001212,0.000017,393.390656,0.000606,0.000009,0.000000,0.000000,0.362424,0.005105,0.031515,0.040000,0.000000,0.000000,0.000000,0.000000,0.120606,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.423636,3999,0.671515,0.009458,1.207879,0.017012,12.632714,0.346061,0.004874,44.092823,0.000000,0.416970,0.005873,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.098788,0.000000,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.003636,3306,0.671515,0.009458,0.612121,0.008621,24.927725,0.231515,0.003261,65.908379,0.000000,0.395152,0.005566,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.113939,0.000000,
