block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,0.451515,745,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,1.615758,2666,0.002211,0.002185,0.000026,0.000000,0.000000,0.005557,0.000000,0.014597,
0,vector1,NA,NA,NA,NA,NA,NA,1.867879,3082,0.002211,0.002185,0.000026,0.000000,0.000000,0.004430,0.000000,0.022595,
1,cube0,0.386667,638,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,2.412121,3980,0.002211,0.002185,0.000026,0.000000,0.000000,0.002586,0.000000,0.013564,
1,vector1,NA,NA,NA,NA,NA,NA,1.503030,2480,0.002211,0.002185,0.000026,0.000000,0.000000,0.004259,0.000000,0.019607,
2,cube0,0.446667,737,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,2.012121,3320,0.002211,0.002185,0.000026,0.000000,0.000000,0.005933,0.000000,0.011532,
2,vector1,NA,NA,NA,NA,NA,NA,2.740606,4522,0.002211,0.002185,0.000026,0.000000,0.000000,0.002484,0.000000,0.013504,
3,cube0,0.393333,649,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,2.831515,4672,0.002211,0.002185,0.000026,0.000000,0.000000,0.003312,0.000000,0.014639,
3,vector1,NA,NA,NA,NA,NA,NA,1.633333,2695,0.002211,0.002185,0.000026,0.000000,0.000000,0.006223,0.000000,0.014085,
