block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,0.495152,817,1,0,0,1,0,0,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.777576,44183,1089,320,384,1026,384,1024,77.288857,27.253370,43.931866,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.663031,43994,1,1408,1,1405,0,1412,0.070972,0.035486,0.047315,
1,cube0,0.441818,729,1,0,0,1,0,0,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.037577,44612,321,1088,1025,387,1024,382,22.782114,72.711143,56.068134,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.770304,44171,1409,0,1403,0,1414,1,100.000000,99.964516,99.976341,
2,cube0,0.458182,756,1,0,0,0,0,1,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.365454,43503,12,1397,1399,16,1388,15,0.851668,98.899925,66.217178,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.503031,43730,1409,0,0,1406,1,1411,100.000000,0.035486,33.356991,
3,cube0,0.458182,756,1,0,0,0,0,1,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.584848,43865,1398,11,22,1390,9,1397,99.219307,1.100071,33.806480,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.161213,43166,1,1408,1412,1,1405,0,0.070972,99.964516,66.666664,
4,cube0,0.506667,836,1,0,0,0,0,1,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.389091,43542,31,1378,1405,0,1412,1,2.200142,99.964516,67.376389,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.817575,44249,1340,69,1,1409,0,1408,95.102913,0.035486,31.724627,
5,cube0,0.457576,755,1,0,0,0,0,1,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.502424,43729,1379,30,1,1408,0,1409,97.870827,0.035486,32.647266,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.084242,44689,70,1339,1415,1,1402,0,4.968062,99.964516,68.299026,
6,cube0,0.489091,807,1,0,0,1,0,0,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.523031,43763,70,1339,1316,86,1329,87,4.968062,93.860893,64.229950,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.957575,42830,129,1280,1,1408,0,1409,9.155430,0.035486,3.075467,
7,cube0,0.429697,709,1,0,0,1,0,0,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.229092,43278,1340,69,85,1324,88,1321,95.102913,6.139106,35.793709,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.149696,43147,1281,128,1408,0,1409,1,90.915543,99.964516,96.948189,
8,cube0,0.502424,829,1,0,0,1,0,0,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
