block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,0.495152,817,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.777576,44183,6.260725,6.260725,6.265172,6.262948,23,0.212682,23,0.184368,352.250000,352.125000,NA,NA,NA,NA,NA,NA,NA,NA,352.000000,2.845008,352.000000,3.351566,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.663031,43994,6.260725,6.260725,6.265172,6.262948,23,0.212853,23,0.197507,352.250000,352.125000,NA,NA,NA,NA,NA,NA,NA,NA,352.000000,2.845008,352.000000,3.351566,
1,cube0,0.441818,729,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.037577,44612,6.260725,6.260725,6.265172,6.262948,23,0.203648,23,0.103133,352.250000,352.125000,NA,NA,NA,NA,NA,NA,NA,NA,352.000000,2.845008,352.000000,3.351566,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.770304,44171,6.260725,6.260725,6.265172,6.262948,23,0.193196,23,0.111184,352.250000,352.125000,NA,NA,NA,NA,NA,NA,NA,NA,352.000000,2.845008,352.000000,3.351566,
2,cube0,0.458182,756,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.365454,43503,6.260725,6.260725,6.265172,6.262948,23,0.182070,23,0.185123,352.250000,352.125000,NA,NA,NA,NA,NA,NA,NA,NA,352.000000,2.845008,352.000000,3.351566,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.503031,43730,6.260725,6.260725,6.265172,6.262948,23,0.178708,23,0.112407,352.250000,352.125000,NA,NA,NA,NA,NA,NA,NA,NA,352.000000,2.845008,352.000000,3.351566,
3,cube0,0.458182,756,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.584848,43865,6.260725,6.260725,6.265172,6.262948,23,0.203991,23,0.113836,352.250000,352.125000,NA,NA,NA,NA,NA,NA,NA,NA,352.000000,2.845008,352.000000,3.351566,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.161213,43166,6.260725,6.260725,6.265172,6.262948,23,0.205260,23,0.179200,352.250000,352.125000,NA,NA,NA,NA,NA,NA,NA,NA,352.000000,2.845008,352.000000,3.351566,
4,cube0,0.506667,836,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.389091,43542,6.260725,6.260725,6.265172,6.262948,23,0.208714,23,0.172441,352.250000,352.125000,NA,NA,NA,NA,NA,NA,NA,NA,352.000000,2.845008,352.000000,3.351566,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.817575,44249,6.260725,6.260725,6.265172,6.262948,23,0.215975,23,0.115026,352.250000,352.125000,NA,NA,NA,NA,NA,NA,NA,NA,352.000000,2.845008,352.000000,3.351566,
5,cube0,0.457576,755,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.502424,43729,6.260725,6.260725,6.265172,6.262948,23,0.198799,23,0.101269,352.250000,352.125000,NA,NA,NA,NA,NA,NA,NA,NA,352.000000,2.845008,352.000000,3.351566,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.084242,44689,6.260725,6.260725,6.265172,6.262948,23,0.202722,23,0.190257,352.250000,352.125000,NA,NA,NA,NA,NA,NA,NA,NA,352.000000,2.845008,352.000000,3.351566,
6,cube0,0.489091,807,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.523031,43763,6.260725,6.260725,6.265172,6.262948,23,0.192201,23,0.101738,352.250000,352.125000,NA,NA,NA,NA,NA,NA,NA,NA,352.000000,2.845008,352.000000,3.351566,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.957575,42830,6.260725,6.260725,6.265172,6.262948,23,0.200549,23,0.098205,352.250000,352.125000,NA,NA,NA,NA,NA,NA,NA,NA,352.000000,2.845008,352.000000,3.351566,
7,cube0,0.429697,709,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.229092,43278,6.260725,6.260725,6.265172,6.262948,23,0.204311,23,0.193665,352.250000,352.125000,NA,NA,NA,NA,NA,NA,NA,NA,352.000000,2.845008,352.000000,3.351566,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.149696,43147,6.260725,6.260725,6.265172,6.262948,23,0.178719,23,0.183728,352.250000,352.125000,NA,NA,NA,NA,NA,NA,NA,NA,352.000000,2.845008,352.000000,3.351566,
8,cube0,0.502424,829,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.004242,42907,5.976147,5.976147,5.980593,5.978370,23,0.188839,23,0.174282,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
