block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,0.495152,817,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26.777576,44183,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,26.663031,43994,
1,cube0,0.441818,729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27.037577,44612,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,26.770304,44171,
2,cube0,0.458182,756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26.365454,43503,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,26.503031,43730,
3,cube0,0.458182,756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26.584848,43865,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,26.161213,43166,
4,cube0,0.506667,836,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26.389091,43542,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,26.817575,44249,
5,cube0,0.457576,755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26.502424,43729,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,27.084242,44689,
6,cube0,0.489091,807,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26.523031,43763,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.957575,42830,
7,cube0,0.429697,709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26.229092,43278,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,26.149696,43147,
8,cube0,0.502424,829,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26.004242,42907,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,26.212727,43251,
9,cube0,0.514545,849,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26.160000,43164,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,26.360001,43494,
10,cube0,0.457576,755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26.062424,43003,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.433939,41966,
11,cube0,0.489697,808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.822424,42607,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.829697,42619,
12,cube0,0.449697,742,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26.112122,43085,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.583031,42212,
13,cube0,0.487273,804,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.895151,42727,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.960606,42835,
14,cube0,0.437576,722,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27.020000,44583,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,26.596970,43885,
15,cube0,0.503030,830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26.747879,44134,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,26.879395,44351,
16,cube0,0.478182,789,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26.876970,44347,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,25.788485,42551,
