block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,0.495152,817,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,26.777576,44183,87.650154,68.867973,0.000000,0.000000,
0,vector1,NA,NA,26.663031,43994,87.650154,68.867973,0.000000,0.000000,
1,cube0,0.441818,729,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,27.037577,44612,87.650154,68.867973,0.000000,0.000000,
1,vector1,NA,NA,26.770304,44171,87.650154,68.867973,0.000000,0.000000,
2,cube0,0.458182,756,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,26.365454,43503,87.650154,68.867973,0.000000,0.000000,
2,vector1,NA,NA,26.503031,43730,87.650154,68.867973,0.000000,0.000000,
3,cube0,0.458182,756,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,26.584848,43865,87.650154,68.867973,0.000000,0.000000,
3,vector1,NA,NA,26.161213,43166,87.650154,68.867973,0.000000,0.000000,
4,cube0,0.506667,836,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,26.389091,43542,87.650154,68.867973,0.000000,0.000000,
4,vector1,NA,NA,26.817575,44249,87.650154,68.867973,0.000000,0.000000,
5,cube0,0.457576,755,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,26.502424,43729,87.650154,68.867973,0.000000,0.000000,
5,vector1,NA,NA,27.084242,44689,87.650154,68.867973,0.000000,0.000000,
6,cube0,0.489091,807,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,26.523031,43763,87.650154,68.867973,0.000000,0.000000,
6,vector1,NA,NA,25.957575,42830,87.650154,68.867973,0.000000,0.000000,
7,cube0,0.429697,709,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,26.229092,43278,87.650154,68.867973,0.000000,0.000000,
7,vector1,NA,NA,26.149696,43147,87.650154,68.867973,0.000000,0.000000,
8,cube0,0.502424,829,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,26.004242,42907,87.650154,69.152557,0.000000,0.000000,
8,vector1,NA,NA,26.212727,43251,87.650154,69.152557,0.000000,0.000000,
9,cube0,0.514545,849,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,26.160000,43164,87.650154,69.152557,0.000000,0.000000,
9,vector1,NA,NA,26.360001,43494,87.650154,69.152557,0.000000,0.000000,
10,cube0,0.457576,755,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,26.062424,43003,87.650154,69.152557,0.000000,0.000000,
10,vector1,NA,NA,25.433939,41966,87.650154,69.152557,0.000000,0.000000,
11,cube0,0.489697,808,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,25.822424,42607,87.650154,69.152557,0.000000,0.000000,
11,vector1,NA,NA,25.829697,42619,87.650154,69.152557,0.000000,0.000000,
12,cube0,0.449697,742,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,26.112122,43085,87.650154,69.152557,0.000000,0.000000,
12,vector1,NA,NA,25.583031,42212,87.650154,69.152557,0.000000,0.000000,
13,cube0,0.487273,804,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,25.895151,42727,87.650154,69.152557,0.000000,0.000000,
13,vector1,NA,NA,25.960606,42835,87.650154,69.152557,0.000000,0.000000,
14,cube0,0.437576,722,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,27.020000,44583,87.650154,69.152557,0.000000,0.000000,
14,vector1,NA,NA,26.596970,43885,87.650154,69.152557,0.000000,0.000000,
15,cube0,0.503030,830,NA,NA,NA,NA,NA,NA,
