block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),
0,cube0,0.495152,817,0.000000,0.000000,0.003030,0.000057,0.002424,0.000046,0.001212,0.000023,393.390656,0.000606,0.000011,0.000000,0.000000,0.450909,0.008508,0.044242,0.067273,0.000000,0.000000,0.000000,0.000000,0.123030,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.777576,44183,14.226666,0.268428,11.272121,0.212682,29.780851,9.771515,0.184368,34.354282,0.000000,1.477576,0.027879,0.188485,0.529091,0.000000,0.000000,0.000000,18.525455,0.143636,0.000000,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.663031,43994,14.226666,0.268428,11.281212,0.212853,29.756853,10.467878,0.197507,32.068905,0.000000,1.385455,0.026141,0.188485,0.529091,0.000000,0.000000,0.000000,18.870302,0.109091,0.000000,
1,cube0,0.441818,729,0.000000,0.000000,0.003030,0.000057,0.002424,0.000046,0.001212,0.000023,393.390656,0.000606,0.000011,0.000000,0.000000,0.388485,0.007330,0.044242,0.067273,0.000000,0.000000,0.000000,0.000000,0.109091,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.037577,44612,14.226666,0.268428,10.793333,0.203648,31.101917,5.466061,0.103133,61.414131,0.000000,1.398182,0.026381,0.188485,0.529091,0.000000,0.000000,0.000000,18.655758,0.145455,0.000000,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.770304,44171,14.226666,0.268428,10.239394,0.193196,32.784496,5.892727,0.111184,56.967400,0.000000,1.833939,0.034603,0.188485,0.529091,0.000000,0.000000,0.000000,18.849697,0.106061,0.000000,
2,cube0,0.458182,756,0.000000,0.000000,0.003030,0.000057,0.002424,0.000046,0.001212,0.000023,393.390656,0.000606,0.000011,0.000000,0.000000,0.402424,0.007593,0.044242,0.067273,0.000000,0.000000,0.000000,0.000000,0.110303,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.365454,43503,14.226666,0.268428,9.649697,0.182070,34.787968,9.811515,0.185123,34.214226,0.000000,2.595151,0.048965,0.188485,0.529091,0.000000,0.000000,0.000000,18.284243,0.115152,0.000000,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.503031,43730,14.226666,0.268428,9.471515,0.178708,35.442417,5.957576,0.112407,56.347305,0.000000,2.255152,0.042550,0.188485,0.529091,0.000000,0.000000,0.000000,17.439394,0.091515,0.000000,
3,cube0,0.458182,756,0.000000,0.000000,0.003030,0.000057,0.002424,0.000046,0.001212,0.000023,393.390656,0.000606,0.000011,0.000000,0.000000,0.413939,0.007810,0.044242,0.067273,0.000000,0.000000,0.000000,0.000000,0.132727,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
