block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,0.495152,817,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,26.777576,44183,0.065157,0.064403,0.000755,0.000000,0.000000,0.218445,0.466507,0.479062,
0,vector1,NA,NA,NA,NA,NA,NA,26.663031,43994,0.065157,0.064403,0.000755,0.000000,0.000000,0.218616,0.465672,0.489663,
1,cube0,0.441818,729,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,27.037577,44612,0.065157,0.064403,0.000755,0.000000,0.000000,0.219931,0.467913,0.475563,
1,vector1,NA,NA,NA,NA,NA,NA,26.770304,44171,0.065157,0.064403,0.000755,0.000000,0.000000,0.211675,0.458994,0.471744,
2,cube0,0.458182,756,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,26.365454,43503,0.065157,0.064403,0.000755,0.000000,0.000000,0.190074,0.432567,0.458285,
2,vector1,NA,NA,NA,NA,NA,NA,26.503031,43730,0.065157,0.064403,0.000755,0.000000,0.000000,0.195380,0.438776,0.470932,
3,cube0,0.458182,756,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,26.584848,43865,0.065157,0.064403,0.000755,0.000000,0.000000,0.215026,0.461452,0.476341,
3,vector1,NA,NA,NA,NA,NA,NA,26.161213,43166,0.065157,0.064403,0.000755,0.000000,0.000000,0.211023,0.455609,0.446575,
4,cube0,0.506667,836,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
