instr,addr,pipe,call_count,cycles,running_time(us),detail
BAR,282123832,VECTOR,10,13091,1.100000,"PIPE:VEC"
BAR,282123768,VECTOR,2,2411,1.000000,"PIPE:VEC"
BAR,282123124,VECTOR,2,2380,1.090000,"PIPE:VEC"
BAR,282123140,VECTOR,2,2364,1.110000,"PIPE:VEC"
BAR,282123412,VECTOR,2,2255,0.960000,"PIPE:VEC"
BAR,282123396,VECTOR,2,2221,0.950000,"PIPE:VEC"
BAR,282123360,VECTOR,2,2063,0.900000,"PIPE:VEC"
BAR,282123292,VECTOR,2,1889,0.850000,"PIPE:VEC"
WAIT_FLAG,282123880,MTE3,1,1349,0.750000,"PIPE:VEC,TRIGGERPIPE:MTE3,FLAGID:4,"
WAIT_FLAG,282123288,VECTOR,2,974,0.540000,"PIPE:MTE2,TRIGGERPIPE:VEC,FLAGID:1,"
WAIT_FLAG,282123232,MTE2,2,964,0.540000,"PIPE:VEC,TRIGGERPIPE:MTE2,FLAGID:2,"
MOV_OUT_TO_UB,282123240,MTE2,2,939,0.520000,"Src:OUT,Dst:UB,XD:X13=0x20,XN:X1=0x11311a00,XM:X23=0x30001000010,id:4"
SET_FLAG,282123284,MTE2,2,937,0.520000,"PIPE:MTE2,TRIGGERPIPE:VEC,FLAGID:1,"
LDP_XI_XJ_XN,282122056,SCALAR,1,362,0.200000,"dtype:B64,XI:X22=0,XJ:X1=0,XN:X0=0x1022be00,IMM:0,"
VCPADD,282123828,VECTOR,10,356,0.200000,"XD:X1=0xa020,XN:X1=0xa020,XT:X7=0x100000800010001,Dtype:F32,Id:321"
ST_XD_XN_IMM,282122100,SCALAR,1,293,0.160000,"dtype:B32,XD:X0=0x7ff80,XN:X30=0x1c8260,IMM:0xd38,"
ST_XD_XN_IMM,282122208,SCALAR,1,290,0.160000,"dtype:B64,XD:X1=0x1c7ae8,XN:X0=0x1c0008,IMM:0,"
STI_XN_IMM,282122260,SCALAR,1,289,0.160000,"dtype:B32,XN:X30=0x1c8260,IMM:0x914,#POST:0,#IMM_TYPE:ZERO,"
STI_XN_IMM,282122204,SCALAR,1,288,0.160000,"dtype:B32,XN:X30=0x1c8260,IMM:0xd10,#POST:0,#IMM_TYPE:ALL_ONE,"
ST_XD_XN_IMM,282122064,SCALAR,1,287,0.160000,"dtype:B64,XD:X1=0x11319c00,XN:X30=0x1c8260,IMM:0x880,"
STI_XN_IMM,282122224,SCALAR,1,286,0.160000,"dtype:B32,XN:X30=0x1c8260,IMM:0xd18,#POST:0,#IMM_TYPE:ALL_ONE,"
STI_XN_IMM,282122228,SCALAR,1,286,0.160000,"dtype:B32,XN:X30=0x1c8260,IMM:0xd14,#POST:0,#IMM_TYPE:ALL_ONE,"
STP_XI_XJ_XN,282122120,SCALAR,1,282,0.160000,"dtype:B64,XI:X3=0,XJ:X3=0,XN:X0=0x1c7b60,IMM:0,"
